player1,player2,SetNo,P1GamesWon,P2GamesWon,P1Score,P2Score,video_name
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_45.9_2133.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_46.0_55335.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_46.2_273262.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_46.5_270382.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_47.0_118608.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_47.4_221714.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_47.5_277490.jpg
NO MATCH,MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_47.5_349486.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_47.9_159686.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_48.0_217836.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_31.7_72892.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_42.6_188194.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_47.6_401111.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_47.8_348944.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_48.3_348450.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_48.4_199263.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_49.1_111808.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_49.2_293217.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_49.9_202089.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_52.6_173051.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alejandro Tabilo vs. David Goffin Full Match ｜ 2024 US Open Round 1.f617_53.1_402234.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_32.4_473424.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_32.6_118734.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_33.2_489548.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_33.5_310287.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_34.7_486475.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_35.8_523723.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_37.0_533600.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_39.1_32636.jpg
